"nsimul","eta","rho_type","ARI_true_bind","ARI_true_vi","ARI_true_p05","ARI_true_argmax","ARI_exp_bind","ARI_exp_vi","ARI_exp_p05","ARI_exp_argmax","threshold","TP","FP","FN","TN","SHD","STD_SHD","F1","Sensitivity","Specificity","F1_within","F1_between","Wasserstein","Frobenius","Relative_Frobenius"
1,"CSDA","None",NA,NA,NA,NA,NA,NA,NA,NA,0.482,46,1,240,493,241,0.308974358974359,0.276276276276276,0.160839160839161,0.997975708502024,0.265486725663717,0.281818181818182,0.570794331834366,92.4585177143363,0.505895721373185
1,"0","rho0_1",0.474050550311045,0.153846153846154,-0.00030637254901959,0.160790464240903,0.474050550311045,0.153846153846154,-0.00030637254901959,0.160790464240903,0.785,76,4,210,490,214,0.274358974358974,0.415300546448087,0.265734265734266,0.991902834008097,0.48062015503876,0.379746835443038,0.34264596686636,68.3818386425916,0.37415784336714
1,"0.5","rho0_1",0.863092563468883,0.532183954783882,0.532183954783882,0.832272492688801,0.863092563468883,0.532183954783882,0.532183954783882,0.832272492688801,0.817,126,16,160,478,176,0.225641025641026,0.588785046728972,0.440559440559441,0.967611336032389,0.657534246575342,0.553191489361702,0.322000845648433,61.3383570432327,0.335618752618404
1,"0.5","rho0_shift",0.446795210847718,0.392353481682714,0.215631929046563,0.35389367278173,0.556568829707427,0.543774452942217,0.253525020735416,0.358617822331039,0.817,114,24,172,470,196,0.251282051282051,0.537735849056604,0.398601398601399,0.951417004048583,0.648275862068965,0.480286738351254,0.348224970862935,70.4687554555706,0.385576610535891
1,"0.5","rho0_SM",0.560158748286889,0.532183954783882,0.532183954783882,0.509463344513656,0.948649751807134,0.668120818498376,0.668120818498376,0.73533902618334,0.819,130,12,156,482,168,0.215384615384615,0.607476635514019,0.454545454545455,0.975708502024291,0.666666666666667,0.576512455516014,0.322113485119413,58.9777259347973,0.322702331211048
1,"0.75","rho0_1",0.850798403193613,0.532183954783882,0.815878925218517,0.899620359050254,0.850798403193613,0.532183954783882,0.815878925218517,0.899620359050254,0.819,118,9,168,485,177,0.226923076923077,0.571428571428571,0.412587412587413,0.981781376518219,0.648275862068965,0.529850746268657,0.320648675666189,61.6858639393285,0.337520170207919
1,"0.75","rho0_shift",0.570891364902507,0.356312132959736,0.271285728714271,0.476571697668943,0.821474251093908,0.509215805010976,0.404446002102839,0.60108033559361,0.826,112,12,174,482,186,0.238461538461538,0.546341463414634,0.391608391608392,0.975708502024291,0.619718309859155,0.507462686567164,0.326035652353472,62.8728603476447,0.344014935850905
1,"0.75","rho0_SM",0.504482640475103,0.532183954783882,0.577760114022585,0.496817478066403,0.948649751807134,0.668120818498376,1,0.943312455403155,0.82,138,28,148,466,176,0.225641025641026,0.610619469026549,0.482517482517482,0.94331983805668,0.684563758389262,0.574257425742574,0.32295045805073,58.1063872465305,0.317934717310692
1,"0.9","rho0_1",0.857975236707939,0.729981378026071,1,0.857975236707939,0.857975236707939,0.729981378026071,1,0.857975236707939,0.822,125,10,161,484,171,0.219230769230769,0.593824228028504,0.437062937062937,0.979757085020243,0.657534246575342,0.56,0.318306495241502,57.2475727971749,0.313235630994764
1,"0.9","rho0_shift",0.560516537735274,0.423152216470179,0.39941079319734,0.425315585244855,0.754580577181994,0.555126756359139,0.603771111450982,0.528906642428301,0.82,123,13,163,481,176,0.225641025641026,0.582938388625592,0.43006993006993,0.973684210526316,0.619718309859155,0.564285714285714,0.320512008456004,60.2126239995028,0.329459195399555
1,"0.9","rho0_SM",0.534514715794204,0.532183954783882,0.563577586206897,0.481293008731857,0.969623408149754,0.668120818498376,0.990014977533699,0.932522359454855,0.82,129,20,157,474,177,0.226923076923077,0.593103448275862,0.451048951048951,0.959514170040486,0.648275862068965,0.56551724137931,0.319348995807221,57.3823257336098,0.313972944718477
2,"CSDA","None",NA,NA,NA,NA,NA,NA,NA,NA,0.357,28,0,258,494,258,0.330769230769231,0.178343949044586,0.0979020979020979,1,0.185185185185185,0.174757281553398,0.657332183528346,106.097441698418,0.5427088574115
2,"0","rho0_1",0.532183954783882,0.410392197986577,0.410392197986577,0.411732635481409,0.532183954783882,0.410392197986577,0.410392197986577,0.411732635481409,0.847,95,9,191,485,200,0.256410256410256,0.487179487179487,0.332167832167832,0.981781376518219,0.619718309859155,0.411290322580645,0.346972279741174,59.2617511014512,0.303135275588393
2,"0.5","rho0_1",0.68972950777601,0.544991727122311,0.544991727122311,0.611645881739295,0.68972950777601,0.544991727122311,0.544991727122311,0.611645881739295,0.827,115,10,171,484,181,0.232051282051282,0.559610705596107,0.402097902097902,0.979757085020243,0.609929078014184,0.533333333333333,0.335838328574837,54.6613993941916,0.279603590198328
2,"0.5","rho0_shift",0.388178840031375,0.40121574197861,0.225835578742189,0.429281241491968,0.547165982774947,0.543911121141556,0.264208788617247,0.472054858360241,0.825,107,13,179,481,192,0.246153846153846,0.527093596059113,0.374125874125874,0.973684210526316,0.609929078014184,0.483018867924528,0.338120909847436,55.7556575192632,0.2852009313525
2,"0.5","rho0_SM",0.618977516059957,0.609378556794901,0.532183954783882,0.556152618734748,0.504515164725665,0.633109861591695,0.668120818498376,0.644828467031686,0.828,118,18,168,476,186,0.238461538461538,0.559241706161137,0.412587412587413,0.963562753036437,0.666666666666667,0.501818181818182,0.333552404982488,54.9729408231747,0.281197184636169
2,"0.75","rho0_1",0.926103707446473,0.729981378026071,1,0.865083025830258,0.926103707446473,0.729981378026071,1,0.865083025830258,0.833,113,10,173,484,183,0.234615384615385,0.552567237163814,0.395104895104895,0.979757085020243,0.629370629370629,0.511278195488722,0.331894090818085,54.1404395930836,0.276938780435805
2,"0.75","rho0_shift",0.534262155245948,0.189103467719199,0.189103467719199,0.448427212874908,0.791243480647818,0.232040507753437,0.232040507753437,0.63399857448325,0.805,105,18,181,476,199,0.255128205128205,0.513447432762836,0.367132867132867,0.963562753036437,0.589928057553957,0.474074074074074,0.360056315320069,63.4130766055648,0.324370105429858
2,"0.75","rho0_SM",0.695109780439122,0.349578104716573,0.465573217523296,0.556460900610388,0.742863564846033,0.554829702605168,0.70449769659743,0.937936796318644,0.847,126,14,160,480,174,0.223076923076923,0.591549295774648,0.440559440559441,0.97165991902834,0.684563758389262,0.541516245487365,0.332985547385368,53.8906194798975,0.275660902420885
2,"0.9","rho0_1",0.886001948684638,0.611174748631793,1,0.581282570932252,0.886001948684638,0.611174748631793,1,0.581282570932252,0.832,101,5,185,489,190,0.243589743589744,0.51530612244898,0.353146853146853,0.989878542510121,0.609929078014184,0.462151394422311,0.331037516186513,54.4972268101891,0.278763815797965
2,"0.9","rho0_shift",0.536008883248731,0.335739030023095,0.536760674910154,0.585933981082298,0.869575131108915,0.474597979222997,0.925803430310835,0.849852162128865,0.831,108,11,178,483,189,0.242307692307692,0.533333333333333,0.377622377622378,0.977732793522267,0.619718309859155,0.486692015209125,0.334950561968974,55.6412788098723,0.284615862215186
2,"0.9","rho0_SM",0.806229440789474,0.55329251530676,0.577760114022585,0.465504169825625,0.700502234714095,0.692109365631371,1,0.921575461833391,0.821,134,21,152,473,173,0.221794871794872,0.607709750566893,0.468531468531469,0.95748987854251,0.693333333333333,0.563573883161512,0.332221111991687,54.2569532747691,0.277534770367778
3,"CSDA","None",NA,NA,NA,NA,NA,NA,NA,NA,0.437,61,0,225,494,225,0.288461538461538,0.351585014409222,0.213286713286713,1,0.444444444444444,0.298642533936652,0.519657127852542,88.5337846316606,0.464551764659837
3,"0","rho0_1",0.423750188224665,0.410392197986577,0.244576446280992,0.425772507754525,0.423750188224665,0.410392197986577,0.244576446280992,0.425772507754525,0.814,141,28,145,466,173,0.221794871794872,0.61978021978022,0.493006993006993,0.94331983805668,0.710526315789474,0.574257425742574,0.400576901910075,56.2562294173928,0.295185964970176
3,"0.5","rho0_1",0.945333914776975,0.729981378026071,0.845229906344251,0.982261976955731,0.945333914776975,0.729981378026071,0.845229906344251,0.982261976955731,0.816,144,33,142,461,175,0.224358974358974,0.622030237580994,0.503496503496504,0.933198380566802,0.727272727272727,0.56957928802589,0.399133082276246,52.7755440740744,0.276922219382077
3,"0.5","rho0_shift",0.445476936856247,0.389569223499764,0.0319901655343268,0.450559474580394,0.555531203769656,0.447940198369223,0.0473710869266782,0.416813709363878,0.823,141,32,145,462,177,0.226923076923077,0.61437908496732,0.493006993006993,0.935222672064777,0.743589743589744,0.547854785478548,0.399813496811279,53.7233077718977,0.281895296045818
3,"0.5","rho0_SM",0.647539656846876,0.532183954783882,0.532183954783882,0.457754938601175,0.902185771791881,0.668120818498376,0.668120818498376,0.677675704885724,0.829,141,25,145,469,170,0.217948717948718,0.623893805309734,0.493006993006993,0.949392712550607,0.743589743589744,0.560810810810811,0.396683578931548,52.5184546654581,0.275573227706809
3,"0.75","rho0_1",0.906334059177661,0.745048665924168,1,0.899620359050254,0.906334059177661,0.745048665924168,1,0.899620359050254,0.829,143,29,143,465,172,0.220512820512821,0.624454148471616,0.5,0.941295546558704,0.751592356687898,0.558139534883721,0.396926367313176,52.0774555841741,0.273259230826679
3,"0.75","rho0_shift",0.534003224691927,0.35340178179058,0.261702615878843,0.422834902582269,0.837524822596548,0.482433202917642,0.333880976974567,0.618251971909537,0.809,137,19,149,475,168,0.215384615384615,0.619909502262443,0.479020979020979,0.961538461538462,0.718954248366013,0.567474048442907,0.395742517113109,51.9195216215875,0.272430524572624
3,"0.75","rho0_SM",0.657222023596711,0.55329251530676,0.577760114022585,0.556504017013232,0.893499365092369,0.692109365631371,1,0.904853553082772,0.823,148,29,138,465,167,0.214102564102564,0.639308855291577,0.517482517482518,0.941295546558704,0.775,0.567656765676568,0.398299721416427,51.6587955161208,0.271062450532964
3,"0.9","rho0_1",0.945333914776975,0.745048665924168,1,0.857975236707939,0.945333914776975,0.745048665924168,1,0.857975236707939,0.819,145,22,141,472,163,0.208974358974359,0.640176600441501,0.506993006993007,0.955465587044534,0.751592356687898,0.581081081081081,0.397480937076853,53.3730487725166,0.280057427745852
3,"0.9","rho0_shift",0.528372093023256,0.392353481682714,0.390054472721083,0.56022668131614,0.901339285714286,0.543774452942217,0.600973032792876,0.842320990408209,0.823,139,17,147,477,164,0.21025641025641,0.6289592760181,0.486013986013986,0.965587044534413,0.710526315789474,0.586206896551724,0.39660138690208,51.04300607388,0.267831299021233
3,"0.9","rho0_SM",0.806229440789474,0.532183954783882,0.577760114022585,0.533737680060652,0.700502234714095,0.668120818498376,1,0.921575461833391,0.841,151,41,135,453,176,0.225641025641026,0.631799163179916,0.527972027972028,0.917004048582996,0.727272727272727,0.58641975308642,0.399215182357965,52.1459319044154,0.273618537678157
4,"CSDA","None",NA,NA,NA,NA,NA,NA,NA,NA,0.55,34,3,252,491,255,0.326923076923077,0.210526315789474,0.118881118881119,0.993927125506073,0.185185185185185,0.223255813953488,0.598835402132279,110.543813710469,0.535987625410425
4,"0","rho0_1",0.591993929918146,0.463337182448037,0.272089823164305,0.447420519389775,0.591993929918146,0.463337182448037,0.272089823164305,0.447420519389775,0.818,114,9,172,485,181,0.232051282051282,0.557457212713936,0.398601398601399,0.981781376518219,0.579710144927536,0.546125461254613,0.32572809659483,62.1040406187503,0.301120398711956
4,"0.5","rho0_1",0.800646551724138,0.478712871287129,0.353244664812892,0.695873389241154,0.800646551724138,0.478712871287129,0.353244664812892,0.695873389241154,0.811,114,24,172,470,196,0.251282051282051,0.537735849056604,0.398601398601399,0.951417004048583,0.6,0.507042253521127,0.323875178331578,60.3469554916705,0.2926009180346
4,"0.5","rho0_shift",0.566118836915297,0.417345462850183,0.15273903275977,0.485754650341417,0.534972341733251,0.421609393919483,0.177662903006394,0.547293414550052,0.806,113,16,173,478,189,0.242307692307692,0.544578313253012,0.395104895104895,0.967611336032389,0.548148148148148,0.542857142857143,0.327816123401133,61.561413477302,0.298489392749109
4,"0.5","rho0_SM",0.416675189200245,0.544991727122311,0.532183954783882,0.553190069407368,0.785244861558351,0.647406594746145,0.668120818498376,0.636352077306971,0.831,119,15,167,479,182,0.233333333333333,0.566666666666667,0.416083916083916,0.969635627530364,0.6,0.55,0.322987679313632,57.5356775020606,0.27897003120844
4,"0.75","rho0_1",0.970172540381791,0.729981378026071,1,0.938982414418925,0.970172540381791,0.729981378026071,1,0.938982414418925,0.827,123,11,163,483,174,0.223076923076923,0.585714285714286,0.43006993006993,0.977732793522267,0.619718309859155,0.568345323741007,0.321402810427201,57.4515525766042,0.278562139373341
4,"0.75","rho0_shift",0.460772317932655,0.423152216470179,0.382731475696614,0.460772317932655,0.609521198612584,0.555126756359139,0.517306984165951,0.609521198612584,0.806,116,13,170,481,183,0.234615384615385,0.559036144578313,0.405594405594406,0.973684210526316,0.589928057553957,0.543478260869565,0.324191450699772,58.9104408031622,0.285635769367147
4,"0.75","rho0_SM",0.493709850107066,0.532183954783882,0.465573217523296,0.401870083609558,0.795976832534097,0.668120818498376,0.70449769659743,0.795873266958221,0.826,119,23,167,471,190,0.243589743589744,0.55607476635514,0.416083916083916,0.953441295546559,0.6,0.534722222222222,0.326056837330503,57.9180755934263,0.28082414351082
4,"0.9","rho0_1",0.886001948684638,0.729981378026071,1,0.886001948684638,0.886001948684638,0.729981378026071,1,0.886001948684638,0.805,122,16,164,478,180,0.230769230769231,0.575471698113208,0.426573426573427,0.967611336032389,0.579710144927536,0.573426573426573,0.323433192025946,56.9839345315005,0.276294825833294
4,"0.9","rho0_shift",0.548469866700044,0.423152216470179,0.422834902582269,0.433589870903674,0.678092265209953,0.555126756359139,0.618251971909537,0.509937775629795,0.836,110,14,176,480,190,0.243589743589744,0.536585365853659,0.384615384615385,0.97165991902834,0.558823529411765,0.525547445255474,0.32367993862323,58.3493055724396,0.28291502426388
4,"0.9","rho0_SM",0.55652642288587,0.349578104716573,0.556400155357044,0.504482640475103,0.887759017651573,0.554829702605168,0.984970326028312,0.948649751807134,0.826,128,22,158,472,180,0.230769230769231,0.587155963302752,0.447552447552448,0.955465587044534,0.6,0.581081081081081,0.324935247430054,57.0662882349255,0.276694129642896
5,"CSDA","None",NA,NA,NA,NA,NA,NA,NA,NA,0.449,35,1,251,493,252,0.323076923076923,0.217391304347826,0.122377622377622,0.997975708502024,0.280701754385965,0.182692307692308,0.584674020127333,95.2718404012323,0.513311828753083
5,"0","rho0_1",0.388279445727483,0.372364854690559,0.202202147230841,0.372364854690559,0.388279445727483,0.372364854690559,0.202202147230841,0.372364854690559,0.823,117,10,169,484,179,0.229487179487179,0.566585956416465,0.409090909090909,0.979757085020243,0.684563758389262,0.5,0.381337761646276,56.1244762597582,0.302391109748446
